numeric,TVhours,Sq Rt TV,Group,Gender,Athlete
1,1,1,FNA,F,NotA
2,3,1.73205081,MNA,M,NotA
3,1,1,FA,F,A
4,2,1.41421356,MNA,M,NotA
5,0,0,FNA,F,NotA
6,2,1.41421356,FNA,F,NotA
7,4.5,2.12132034,FNA,F,NotA
8,0,0,FNA,F,NotA
9,3,1.73205081,FNA,F,NotA
10,2,1.41421356,MNA,M,NotA
11,6,2.44948974,FNA,F,NotA
12,10,3.16227766,MNA,M,NotA
13,3,1.73205081,MNA,M,NotA
14,4,2,MNA,M,NotA
15,1,1,MNA,M,NotA
16,7,2.64575131,MA,M,A
17,3,1.73205081,MA,M,A
18,0,0,MNA,M,NotA
19,0,0,MNA,M,NotA
20,3,1.73205081,MNA,M,NotA
21,4,2,FNA,F,NotA
22,4,2,MNA,M,NotA
23,0,0,MNA,M,NotA
24,2,1.41421356,MNA,M,NotA
25,0,0,FNA,F,NotA
26,0,0,FNA,F,NotA
27,0,0,FNA,F,NotA
28,0.5,0.70710678,FNA,F,NotA
29,0,0,MNA,M,NotA
30,0,0,MNA,M,NotA
31,4,2,MNA,M,NotA
32,4,2,MA,M,A
33,20,4.47213595,MNA,M,NotA
34,0,0,FNA,F,NotA
35,1,1,FNA,F,NotA
36,0,0,FNA,F,NotA
37,0.5,0.70710678,FNA,F,NotA
38,0,0,MA,M,A
39,1.5,1.22474487,MNA,M,NotA
40,0.5,0.70710678,FNA,F,NotA
41,1,1,MNA,M,NotA
42,3,1.73205081,FNA,F,NotA
43,0,0,FNA,F,NotA
44,1,1,FNA,F,NotA
45,8,2.82842712,FNA,F,NotA
46,5,2.23606798,MNA,M,NotA
47,1,1,FNA,F,NotA
48,2,1.41421356,MNA,M,NotA
49,0,0,MNA,M,NotA
50,4,2,FNA,F,NotA
51,1,1,FNA,F,NotA
52,3,1.73205081,MNA,M,NotA
53,3,1.73205081,MA,M,A
54,10,3.16227766,MNA,M,NotA
55,0,0,MNA,M,NotA
56,3,1.73205081,FNA,F,NotA
57,5,2.23606798,MNA,M,NotA
58,0,0,MNA,M,NotA
59,0,0,MNA,M,NotA
60,2,1.41421356,MNA,M,NotA
61,3,1.73205081,FA,F,A
62,0,0,FNA,F,NotA
63,2,1.41421356,FNA,F,NotA
64,0,0,FNA,F,NotA
65,3,1.73205081,MNA,M,NotA
66,10,3.16227766,FNA,F,NotA
67,5,2.23606798,MNA,M,NotA
68,1,1,FNA,F,NotA
69,4,2,MA,M,A
70,1,1,FA,F,A
71,0,0,FNA,F,NotA
72,0,0,FNA,F,NotA
73,6,2.44948974,FNA,F,NotA
74,1,1,MNA,M,NotA
75,0,0,FNA,F,NotA
76,2,1.41421356,FA,F,A
77,3,1.73205081,FNA,F,NotA
78,2,1.41421356,MA,M,A
79,0,0,MNA,M,NotA
80,4,2,MNA,M,NotA
81,7,2.64575131,MNA,M,NotA
82,1,1,MNA,M,NotA
83,1,1,FA,F,A
84,7,2.64575131,MNA,M,NotA
85,1,1,MA,M,A
86,0,0,FNA,F,NotA
87,0,0,FNA,F,NotA
88,0,0,FA,F,A
89,0,0,FNA,F,NotA
90,0,0,FA,F,A
91,1,1,MNA,M,NotA
92,0,0,MNA,M,NotA
93,2,1.41421356,FA,F,A
94,7,2.64575131,MNA,M,NotA
95,2,1.41421356,FNA,F,NotA
96,6,2.44948974,MNA,M,NotA
97,10,3.16227766,MA,M,A
98,8,2.82842712,MNA,M,NotA
99,0,0,FNA,F,NotA
100,0,0,MNA,M,NotA
101,20,4.47213595,MA,M,A
102,2,1.41421356,FNA,F,NotA
103,1,1,FNA,F,NotA
104,0,0,FA,F,A
105,10,3.16227766,MNA,M,NotA
106,0,0,MNA,M,NotA
107,1,1,FA,F,A
108,0.5,0.70710678,FNA,F,NotA
109,3,1.73205081,FNA,F,NotA
110,0,0,FA,F,A
111,2,1.41421356,MA,M,A
112,10,3.16227766,MA,M,A
113,10,3.16227766,FA,F,A
114,5,2.23606798,FNA,F,NotA
115,0,0,FA,F,A
116,0,0,MNA,M,NotA
117,3,1.73205081,FNA,F,NotA
118,0,0,FNA,F,NotA
119,0,0,FA,F,A
120,6,2.44948974,MA,M,A
121,0,0,FNA,F,NotA
122,4,2,FNA,F,NotA
123,1,1,FNA,F,NotA
124,4,2,FNA,F,NotA
125,1,1,MNA,M,NotA
126,6,2.44948974,MNA,M,NotA
127,7,2.64575131,MNA,M,NotA
128,0,0,MNA,M,NotA
129,4,2,MA,M,A
130,5,2.23606798,MA,M,A
131,6,2.44948974,MA,M,A
132,6,2.44948974,FNA,F,NotA
133,1,1,MNA,M,NotA
134,3,1.73205081,MNA,M,NotA
135,12,3.46410162,MA,M,A
136,2,1.41421356,FNA,F,NotA
137,6,2.44948974,MNA,M,NotA
138,12,3.46410162,MNA,M,NotA
139,1,1,MNA,M,NotA
140,15,3.87298335,MNA,M,NotA
141,3,1.73205081,MA,M,A
142,15,3.87298335,FA,F,A
143,1,1,FNA,F,NotA
144,2,1.41421356,FNA,F,NotA
145,1,1,MNA,M,NotA
146,10,3.16227766,MA,M,A
147,20,4.47213595,MA,M,A
148,6,2.44948974,FNA,F,NotA
149,2,1.41421356,MNA,M,NotA
150,1,1,MNA,M,NotA
151,10,3.16227766,FNA,F,NotA
152,1,1,FNA,F,NotA
153,2,1.41421356,FNA,F,NotA
154,0,0,MNA,M,NotA
155,5,2.23606798,FA,F,A
156,4,2,MNA,M,NotA
157,3,1.73205081,MNA,M,NotA
158,0,0,MNA,M,NotA
159,0,0,MA,M,A
160,1,1,FNA,F,NotA
161,1,1,MNA,M,NotA
162,25,5,MA,M,A
163,2,1.41421356,MNA,M,NotA
164,0,0,FNA,F,NotA
165,6,2.44948974,FNA,F,NotA
166,1,1,FNA,F,NotA
167,1,1,FA,F,A
168,8,2.82842712,MA,M,A
169,2,1.41421356,MNA,M,NotA
170,0.5,0.70710678,FA,F,A
171,0,0,FNA,F,NotA
172,0,0,MNA,M,NotA
173,15,3.87298335,MA,M,A
174,3,1.73205081,MNA,M,NotA
175,2,1.41421356,MNA,M,NotA
176,2,1.41421356,FA,F,A
177,24,4.89897949,MA,M,A
178,2,1.41421356,FNA,F,NotA
179,15,3.87298335,FNA,F,NotA
180,2,1.41421356,MNA,M,NotA
181,25,5,MA,M,A
182,5,2.23606798,FNA,F,NotA
183,1.5,1.22474487,MNA,M,NotA
184,2,1.41421356,MNA,M,NotA
185,20,4.47213595,MA,M,A
186,1,1,MNA,M,NotA
187,4,2,MNA,M,NotA
188,4,2,MNA,M,NotA
189,5,2.23606798,FNA,F,NotA
190,0,0,MNA,M,NotA
191,1,1,FNA,F,NotA
192,3,1.73205081,FNA,F,NotA
193,1,1,FNA,F,NotA
194,15,3.87298335,FNA,F,NotA
195,10,3.16227766,FA,F,A
196,2.5,1.58113883,FA,F,A
197,3,1.73205081,FA,F,A
